model,split,time_index,rmse,relative_l2,correlation,spectral_error,energy_relative_error
fno,test,2.0,0.010513882152736187,0.160452201962471,0.99022586414909,0.12830685079097748,1.105485927070168
fno,test,12.0,0.005250332877039909,0.1489933580160141,0.9913247762298498,0.11200806498527527,0.22619405428167746
fno,test,21.0,0.010174237191677094,0.3009088337421417,0.9547595041648098,0.24211032688617706,0.16121185596976584
fno,test,31.0,0.0104099465534091,0.20812776684761047,0.9782929055707884,0.16533999145030975,0.36796448721244546
fno,test,40.0,0.009432333521544933,0.1867428421974182,0.982407712956537,0.16451440751552582,0.47328131811280266
fno,test,50.0,0.010951941832900047,0.22974784672260284,0.973432256428274,0.19336506724357605,0.5499693888551025
fno,test,59.0,0.01299300231039524,0.28750714659690857,0.9591833441832747,0.2140704244375229,0.3556695035318208
fno,test,69.0,0.015869082883000374,0.3699641823768616,0.9346173637409492,0.2737640142440796,0.2919275518342488
fno,test,2.0,0.01064507756382227,0.17012906074523926,0.9872086514276879,0.1223444864153862,0.9623844051871024
fno,test,12.0,0.006122126244008541,0.18667522072792053,0.9906650563443669,0.16426147520542145,0.023731270394416068
fno,test,21.0,0.009343009442090988,0.2823163568973541,0.959142741740847,0.2245335876941681,0.003983235740825522
fno,test,31.0,0.009533081203699112,0.19948184490203857,0.980225655614849,0.17404361069202423,0.44754996048088813
fno,test,40.0,0.009793817065656185,0.20663675665855408,0.9790833304357537,0.17364034056663513,0.6931393650330417
fno,test,50.0,0.011266964487731457,0.25260499119758606,0.968033034538048,0.21160726249217987,0.20743486206665165
fno,test,59.0,0.014099031686782837,0.33018696308135986,0.9460493504771939,0.27139273285865784,0.06213220525268799
fno,test,69.0,0.016160549595952034,0.3915005028247833,0.9254083569129998,0.3007802367210388,0.19401479846799843
fno,test,2.0,0.011432711035013199,0.22718805074691772,0.9789043617365082,0.1755153238773346,1.0381171389349073
fno,test,12.0,0.007284883875399828,0.3391678035259247,0.9462973914944066,0.2900116741657257,0.5213760233141269
fno,test,21.0,0.011634142138063908,0.34145593643188477,0.941659393149647,0.2933743894100189,0.08075468930260496
fno,test,31.0,0.011109311133623123,0.2850249111652374,0.9619604863584076,0.2389637976884842,0.17344083195585022
fno,test,40.0,0.016012784093618393,0.44114965200424194,0.8994468480049825,0.3699151277542114,0.04404725682496518
fno,test,50.0,0.01620357856154442,0.4741288423538208,0.8822726705280265,0.3707706332206726,0.03356069250600852
fno,test,59.0,0.018716752529144287,0.5619681477546692,0.8342332107376504,0.41805750131607056,0.06211444149638429
fno,test,69.0,0.01986425556242466,0.5896128416061401,0.8172795786812999,0.4017241895198822,0.12658848202755577
fno,test,2.0,0.008850336074829102,0.15897679328918457,0.989935440676062,0.13996434211730957,0.7788386120406533
fno,test,12.0,0.006511713843792677,0.23579950630664825,0.9816371429957113,0.19366484880447388,0.045815615600667034
fno,test,21.0,0.01113404706120491,0.3466254770755768,0.9391423415852977,0.30584895610809326,0.12045931371266796
fno,test,31.0,0.009058250114321709,0.20820721983909607,0.9781293760680764,0.17384260892868042,0.22466014720739105
fno,test,40.0,0.01071095559746027,0.25583866238594055,0.9668157953973469,0.19941797852516174,0.6727111824127322
fno,test,50.0,0.01214282400906086,0.305340051651001,0.9523103721383687,0.2328067421913147,0.41412690849753786
fno,test,59.0,0.015029750764369965,0.3803630471229553,0.9256124350921089,0.2747367024421692,0.03298192315444825
fno,test,69.0,0.016040682792663574,0.40285351872444153,0.9171222363830392,0.30045926570892334,0.13069469594926975
fno,test,2.0,0.012474370189011097,0.2258811593055725,0.9784879336364585,0.16128958761692047,1.0390596776817662
fno,test,12.0,0.006853068713098764,0.2662438154220581,0.9742810487525337,0.2166992723941803,0.22605767226875095
fno,test,21.0,0.011335187591612339,0.34036096930503845,0.9403768457555709,0.2650494873523712,0.19556143779360927
fno,test,31.0,0.0098542720079422,0.2287813276052475,0.973992182098356,0.18388064205646515,0.24863808532094664
fno,test,40.0,0.012751427479088306,0.3139927387237549,0.9496769714442309,0.24027405679225922,0.6756286517401232
fno,test,50.0,0.014810719527304173,0.39684951305389404,0.9209738933044445,0.2823029160499573,0.1909762419863534
fno,test,59.0,0.018485037609934807,0.5092840790748596,0.8694082185873695,0.3568350672721863,0.02301947920142502
fno,test,69.0,0.019240938127040863,0.5507686138153076,0.8466857357317116,0.36789196729660034,0.24351045356994883
fno,test,2.0,0.015542007982730865,0.43523767590522766,0.9011889769915297,0.2957676649093628,0.28701235792960644
fno,test,12.0,0.013889961875975132,0.7613593935966492,0.6491385630062094,0.6886113286018372,0.5940329680583549
fno,test,21.0,0.01237770076841116,0.4242803752422333,0.9072760347386635,0.30068516731262207,0.18357795044929176
fno,test,31.0,0.01945115067064762,0.7375404238700867,0.7065596418735098,0.5812276601791382,0.4906730634334946
fno,test,40.0,0.018301624804735184,0.6959827542304993,0.7188096021205465,0.5147159099578857,0.4350422553057189
fno,test,50.0,0.021944081410765648,0.837823748588562,0.5900844001277038,0.5736470818519592,0.5231914643532148
